city,district,neighborhood,room,living_room,area,age,floor,price
izmir,konak,kahramanlar,2,1,110,26,4,22000
izmir,konak,mimar_sinan,3,1,130,25,4,20000
izmir,seferihisar,colak_ibrahim_bey,3,1,135,0,2,36000
izmir,balcova,fevzi_cakmak,3,1,165,23,3,25000
izmir,bornova,erzene,3,1,120,30,4,22000
izmir,bornova,mevlana,1,1,45,0,3,16000
izmir,karsiyaka,bahriye_ucok,2,1,80,30,6,25000
izmir,karsiyaka,semikler,1,1,50,5,2,16500
izmir,dikili,salimbey,2,1,85,10,0,15000
izmir,gaziemir,dokuz_eylul,1,1,80,0,1,20000
izmir,cigli,kucuk_cigli,3,1,140,21,0,10000
izmir,cigli,balatcik,1,1,75,6,5,21000
izmir,buca,kurucesme,1,1,50,10,0,15000
izmir,seferihisar,colak_ibrahim_bey,2,1,135,0,2,22500
izmir,karsiyaka,ornekkoy,2,1,85,8,3,20000
izmir,karsiyaka,zubeyde_hanim,2,1,100,17,6,15000
izmir,konak,murat_reis,1,1,98,6,2,20000
izmir,karabaglar,bahcelievler,3,1,140,30,3,18000
izmir,balcova,egitim,3,1,132,12,3,25000
izmir,balcova,onur,2,1,95,40,0,15500
izmir,konak,alsancak,2,1,90,25,1,16000
izmir,buca,adatepe,1,1,50,8,2,14000
izmir,cigli,koyici,3,1,110,35,1,17000
izmir,karabaglar,bahcelievler,2,1,85,28,2,20000
izmir,buca,kurucesme,1,1,55,4,5,12500
izmir,balcova,egitim,2,1,150,30,3,18000
izmir,buca,adatepe,2,1,85,0,3,15000
izmir,karsiyaka,goncalar,3,1,127,24,3,20000
izmir,konak,piri_reis,2,1,110,30,3,25000
izmir,bayrakli,manavkuyu,3,1,145,35,5,27000
izmir,buca,baris,3,1,150,20,3,25000
izmir,konak,mehmet_ali_akman,4,1,190,38,6,36000
izmir,karabaglar,vatan,2,1,100,20,3,18000
izmir,karsiyaka,bahriye_ucok,3,1,130,31,1,26000
izmir,foca,mustafa_kemal_ataturk,2,1,85,7,2,25000
izmir,cigli,ataturk_osb,2,1,123,9,6,33000
izmir,cesme,ismet_inonu,1,1,65,11,3,20000
izmir,karsiyaka,cumhuriyet,3,1,150,7,3,28000
izmir,konak,halkapinar,1,1,55,5,6,32000
izmir,karsiyaka,bahriye_ucok,2,1,100,5,2,37000
izmir,foca,ataturk,3,1,150,20,2,45000
izmir,bayrakli,postacilar,3,1,140,30,1,25000
izmir,bornova,evka_3,3,1,120,35,2,25000
izmir,buca,camlikule,3,1,130,7,4,27000
izmir,karsiyaka,semikler,3,1,115,17,2,25000
izmir,torbali,inonu,2,1,90,0,3,15000
izmir,odemis,suleyman_demirel,3,1,140,15,2,16500
izmir,menemen,villakent,1,1,57,10,0,9750
izmir,karsiyaka,yali,2,1,90,25,5,25000
izmir,cigli,atasehir,3,1,150,19,4,45000
izmir,bergama,fatih,2,1,75,4,2,14500
izmir,bayrakli,fuat_edip_baksi,3,1,120,33,3,20000
izmir,menemen,kazimpasa,3,1,160,0,3,15000
izmir,karabaglar,fahrettin_altay,3,1,120,35,4,30000
izmir,karabaglar,bahcelievler,2,1,90,40,3,15000
izmir,karsiyaka,bahcelievler,3,1,160,27,2,18000
izmir,balcova,fevzi_cakmak,3,1,110,25,3,20000
izmir,karabaglar,doganay,3,1,120,20,3,17500
izmir,guzelbahce,camli,3,1,165,25,2,32000
izmir,foca,ataturk,2,1,80,35,2,20000
izmir,buca,kurucesme,2,1,75,6,2,15000
izmir,selcuk,14_mayis,1,1,60,0,3,18000
izmir,karabaglar,ali_fuat_cebesoy,3,1,160,10,3,25000
izmir,seferihisar,hidirlik,2,1,75,25,5,25000
izmir,buca,vali_rahmi_bey,3,1,145,30,5,20000
izmir,buca,yaylacik,2,1,60,4,2,12500
izmir,buca,kurucesme,1,1,85,6,1,13000
izmir,karsiyaka,yali,2,1,80,8,0,37500
izmir,dikili,candarli,3,1,185,3,2,50000
izmir,balcova,koruturk,3,1,135,31,3,27000
izmir,seferihisar,payamli,3,1,150,4,0,32500
izmir,balcova,fevzi_cakmak,3,1,130,30,6,25000
izmir,narlidere,ilica,3,1,125,37,6,35000
izmir,karabaglar,bahcelievler,3,1,120,40,2,22000
izmir,karabaglar,adnan_suvari,3,1,130,26,0,28250
izmir,menemen,9_eylul,1,1,45,2,0,12000
izmir,konak,mithatpasa,3,1,130,35,1,23750
izmir,menderes,cuneytbey,2,1,105,2,1,18500
izmir,karabaglar,muammer_akar,2,1,85,16,3,20000
